,cd_ibge,estado,ano,vl_arrec
0,999,Ignorado,2000,3830461114
1,999,Ignorado,2001,5330180748
2,999,Ignorado,2002,6482060050
3,999,Ignorado,2003,6342381086
4,999,Ignorado,2004,7820136628
5,999,Ignorado,2005,7922173270
6,999,Ignorado,2006,10927670889
7,999,Ignorado,2007,14051093954
8,999,Ignorado,2008,15333509555
9,999,Ignorado,2009,19097749830
10,999,Ignorado,2010,24717255456
11,999,Ignorado,2011,32304811711
12,999,Ignorado,2012,10023963042
13,999,Ignorado,2013,15019632399
14,999,Ignorado,2014,41918491668
15,999,Ignorado,2015,43260504485
16,999,Ignorado,2016,45100620629
