,cd_ibge,estado,ano,vl_arrec
0,11, Rondônia,2000,117397179
1,12, Acre,2000,51507861
2,13, Amazonas,2000,402717802
3,14, Roraima,2000,22548374
4,15, Pará,2000,457166116
5,16, Amapá,2000,37780926
6,17, Tocantins,2000,79157565
7,21, Maranhão,2000,254486571
8,22, Piauí,2000,150984313
9,23, Ceará,2000,734824175
10,24, Rio Grande do Norte,2000,250299471
11,25, Paraíba,2000,230073746
12,26, Pernambuco,2000,939723063
13,27, Alagoas,2000,173947732
14,28, Sergipe,2000,227250706
15,29, Bahia,2000,1457428356
16,31, Minas Gerais,2000,4145228075
17,32, Espírito Santo,2000,734060096
18,33, Rio de Janeiro,2000,5977850918
19,35, São Paulo,2000,25214039923
20,41, Paraná,2000,2933092978
21,42, Santa Catarina,2000,1929486912
22,43, Rio Grande do Sul,2000,3598603544
23,50, Mato Grosso do Sul,2000,292516798
24,51, Mato Grosso,2000,322220706
25,52, Goiás,2000,794631184
26,53, Distrito Federal,2000,1797248282
27,11, Rondônia,2001,165025414
28,12, Acre,2001,58561866
29,13, Amazonas,2001,457162884
30,14, Roraima,2001,46172207
31,15, Pará,2001,553806039
32,16, Amapá,2001,52599105
33,17, Tocantins,2001,114690078
34,21, Maranhão,2001,321530547
35,22, Piauí,2001,176865167
36,23, Ceará,2001,823243728
37,24, Rio Grande do Norte,2001,324133037
38,25, Paraíba,2001,282386939
39,26, Pernambuco,2001,1065765509
40,27, Alagoas,2001,229085779
41,28, Sergipe,2001,251569786
42,29, Bahia,2001,1643103377
43,31, Minas Gerais,2001,4494755606
44,32, Espírito Santo,2001,868025232
45,33, Rio de Janeiro,2001,6791887926
46,35, São Paulo,2001,27949125388
47,41, Paraná,2001,3350390282
48,42, Santa Catarina,2001,2222798380
49,43, Rio Grande do Sul,2001,4080369447
50,50, Mato Grosso do Sul,2001,361813775
51,51, Mato Grosso,2001,420307707
52,52, Goiás,2001,943042667
53,53, Distrito Federal,2001,2045398356
54,11, Rondônia,2002,197609358
55,12, Acre,2002,79164582
56,13, Amazonas,2002,553415457
57,14, Roraima,2002,84504860
58,15, Pará,2002,698172261
59,16, Amapá,2002,68782396
60,17, Tocantins,2002,168144392
61,21, Maranhão,2002,387453026
62,22, Piauí,2002,197607916
63,23, Ceará,2002,908739584
64,24, Rio Grande do Norte,2002,413605147
65,25, Paraíba,2002,351205833
66,26, Pernambuco,2002,1227041358
67,27, Alagoas,2002,279987767
68,28, Sergipe,2002,314882683
69,29, Bahia,2002,1946124987
70,31, Minas Gerais,2002,5195681188
71,32, Espírito Santo,2002,1018594466
