,cd_ibge,estado,ano,vl_arrec
0,11, Rondônia,2000,16126187
1,12, Acre,2000,9267799
2,13, Amazonas,2000,34739434
3,14, Roraima,2000,2472259
4,15, Pará,2000,88128251
5,16, Amapá,2000,4161745
6,17, Tocantins,2000,13836427
7,21, Maranhão,2000,88603258
8,22, Piauí,2000,57463755
9,23, Ceará,2000,164956966
10,24, Rio Grande do Norte,2000,68306570
11,25, Paraíba,2000,84219643
12,26, Pernambuco,2000,210787546
13,27, Alagoas,2000,54929417
14,28, Sergipe,2000,38024729
15,29, Bahia,2000,301106684
16,31, Minas Gerais,2000,559390288
17,32, Espírito Santo,2000,84426561
18,33, Rio de Janeiro,2000,723600226
19,35, São Paulo,2000,1644347260
20,41, Paraná,2000,263974212
21,42, Santa Catarina,2000,193616465
22,43, Rio Grande do Sul,2000,450481719
23,50, Mato Grosso do Sul,2000,37452737
24,51, Mato Grosso,2000,32027316
25,52, Goiás,2000,86951717
26,53, Distrito Federal,2000,51300698
27,11, Rondônia,2001,19608824
28,12, Acre,2001,11234820
29,13, Amazonas,2001,41469136
30,14, Roraima,2001,3055879
31,15, Pará,2001,106202236
32,16, Amapá,2001,4914048
33,17, Tocantins,2001,17117390
34,21, Maranhão,2001,110173847
35,22, Piauí,2001,69783183
36,23, Ceará,2001,197000516
37,24, Rio Grande do Norte,2001,80162440
38,25, Paraíba,2001,100697412
39,26, Pernambuco,2001,246303180
40,27, Alagoas,2001,64639503
41,28, Sergipe,2001,44709721
42,29, Bahia,2001,353841973
43,31, Minas Gerais,2001,660556946
44,32, Espírito Santo,2001,105418478
45,33, Rio de Janeiro,2001,802138951
46,35, São Paulo,2001,1862007446
47,41, Paraná,2001,310318145
48,42, Santa Catarina,2001,225479439
49,43, Rio Grande do Sul,2001,516898839
50,50, Mato Grosso do Sul,2001,44636229
51,51, Mato Grosso,2001,39405493
52,52, Goiás,2001,102636273
53,53, Distrito Federal,2001,58868472
54,11, Rondônia,2002,24175502
55,12, Acre,2002,13134864
56,13, Amazonas,2002,48639029
57,14, Roraima,2002,3679487
58,15, Pará,2002,126253134
59,16, Amapá,2002,5997334
60,17, Tocantins,2002,20543271
61,21, Maranhão,2002,130721306
62,22, Piauí,2002,80769637
63,23, Ceará,2002,231317964
64,24, Rio Grande do Norte,2002,93401166
65,25, Paraíba,2002,118358536
66,26, Pernambuco,2002,284798554
67,27, Alagoas,2002,73442769
68,28, Sergipe,2002,53265007
69,29, Bahia,2002,417056063
70,31, Minas Gerais,2002,787779618
71,32, Espírito Santo,2002,123914675
72,33, Rio de Janeiro,2002,931445059
73,35, São Paulo,2002,2196097573
74,41, Paraná,2002,370498932
75,42, Santa Catarina,2002,272890858
76,43, Rio Grande do Sul,2002,604941020
77,50, Mato Grosso do Sul,2002,54079922
78,51, Mato Grosso,2002,47659731
79,52, Goiás,2002,121125267
80,53, Distrito Federal,2002,72522257
81,11, Rondônia,2003,31268631
82,12, Acre,2003,16481391
83,13, Amazonas,2003,61072221
84,14, Roraima,2003,4784133
85,15, Pará,2003,158367193
86,16, Amapá,2003,7710425
87,17, Tocantins,2003,26522264
88,21, Maranhão,2003,164672321
89,22, Piauí,2003,99349228
90,23, Ceará,2003,285145951
91,24, Rio Grande do Norte,2003,115910532
92,25, Paraíba,2003,147090823
93,26, Pernambuco,2003,350916087
94,27, Alagoas,2003,90795890
95,28, Sergipe,2003,65995144
96,29, Bahia,2003,519443955
97,31, Minas Gerais,2003,972922618
98,32, Espírito Santo,2003,153899860
99,33, Rio de Janeiro,2003,1124121466
100,35, São Paulo,2003,2741537728
101,41, Paraná,2003,468433917
102,42, Santa Catarina,2003,346223498
103,43, Rio Grande do Sul,2003,756731428
104,50, Mato Grosso do Sul,2003,67431110
105,51, Mato Grosso,2003,62008080
106,52, Goiás,2003,153191366
107,53, Distrito Federal,2003,91997767
108,11, Rondônia,2004,36853851
109,12, Acre,2004,18939835
110,13, Amazonas,2004,69748435
111,14, Roraima,2004,5904629
112,15, Pará,2004,179616016
113,16, Amapá,2004,9338419
114,17, Tocantins,2004,32181618
115,21, Maranhão,2004,189333522
116,22, Piauí,2004,110829188
117,23, Ceará,2004,321027923
118,24, Rio Grande do Norte,2004,131726080
119,25, Paraíba,2004,165543650
120,26, Pernambuco,2004,405127060
121,27, Alagoas,2004,102301166
122,28, Sergipe,2004,73799095
123,29, Bahia,2004,594386019
124,31, Minas Gerais,2004,1125475288
125,32, Espírito Santo,2004,173926960
126,33, Rio de Janeiro,2004,1280637240
127,35, São Paulo,2004,3147750630
128,41, Paraná,2004,540524117
