,cd_ibge,dif,estado,municipio
0,4309001,-48550233.63235283,Rio Grande do Sul,Giruá
1,4210704,-3865038.0514705777,Santa Catarina,Matos Costa
2,1703800,-4231654.485294104,Tocantins,Buriti do Tocantins
3,4112405,-22356889.169117928,Paraná,Japurá
4,3506201,-5527403.661764741,São Paulo,Bento de Abreu
5,3555356,-4691859.389706016,São Paulo,Ubarana
6,2801702,-18962986.639705658,Sergipe,Cristinápolis
7,4128807,-6171559.867646933,Paraná,Xambrê
8,2703403,-3445986.0441176295,Alagoas,Jacaré dos Homens
9,3522604,-126325321.38970566,São Paulo,Itapira
10,5210158,-842263.3897058815,Goiás,Ipiranga de Goiás
11,2605103,-66436597.345588684,Pernambuco,Custódia
12,3113008,-32005689.03676462,Minas Gerais,Caraí
13,2916401,-96504180.75,Bahia,Itapetinga
14,2506806,-42604123.12499905,Paraíba,Ingá
15,3129400,-4587574.477941155,Minas Gerais,Ibertioga
16,3525300,-213048914.93382645,São Paulo,Jaú
17,4309050,-6930734.860294104,Rio Grande do Sul,Glorinha
18,2408508,-8654197.176470637,Rio Grande do Norte,Ouro Branco
19,2310209,-39569902.47058773,Ceará,Paracuru
20,2932804,-22994066.4117651,Bahia,Utinga
21,4311734,-193136.31617647037,Rio Grande do Sul,Mampituba
22,3145802,-419783.375,Minas Gerais,Onça de Pitangui
23,3555406,-76323266.28676414,São Paulo,Ubatuba
24,1507409,-21601209.110294342,Pará,São Francisco do Pará
25,3162203,-14641519.66176486,Minas Gerais,São João Batista do Glória
26,3522653,-4580457.095588326,São Paulo,Itapirapuã Paulista
27,2105104,-26833392.58823538,Maranhão,Icatu
28,2605152,-26407610.17647028,Pernambuco,Dormentes
29,4309100,-32867638.235293865,Rio Grande do Sul,Gramado
30,2310258,-36844425.4485302,Ceará,Paraipaba
31,4210803,-16574907.279411554,Santa Catarina,Meleiro
32,4112504,-37233720.16911745,Paraná,Jardim Alegre
33,3145851,-3193973.242647052,Minas Gerais,Oratórios
34,3506300,-27434328.0,São Paulo,Bernardino de Campos
35,1714880,-12943047.54411769,Tocantins,Nova Olinda
36,1507458,-39261981.85294151,Pará,São Geraldo do Araguaia
37,4309126,-1084908.9852941185,Rio Grande do Sul,Gramado dos Loureiros
38,1507466,-1534986.4926470518,Pará,São João da Ponta
39,2900108,-24676084.602941036,Bahia,Abaíra
40,2703502,-1819522.2573529482,Alagoas,Jacuípe
41,3522703,-86965799.57352829,São Paulo,Itápolis
42,1507474,-7716056.095588207,Pará,São João de Pirabas
43,3113107,-2309486.1102941036,Minas Gerais,Caranaíba
44,2916500,-26931398.095588207,Bahia,Itapicuru
45,3145877,-4353140.257352948,Minas Gerais,Orizânia
