,municipio,estado,ano,dif
0,Alta Floresta D'Oeste,Rondônia,2000,-4707199
1,Ariquemes,Rondônia,2000,-7582526
2,Cabixi,Rondônia,2000,-1025251
3,Cacoal,Rondônia,2000,-7731168
4,Cerejeiras,Rondônia,2000,-4294263
5,Colorado do Oeste,Rondônia,2000,-4818944
6,Corumbiara,Rondônia,2000,0
7,Costa Marques,Rondônia,2000,-1387873
8,Espigão D'Oeste,Rondônia,2000,-2415976
9,Guajará-Mirim,Rondônia,2000,-5334617
10,Jaru,Rondônia,2000,-5388947
11,Ji-Paraná,Rondônia,2000,-3301791
12,Machadinho D'Oeste,Rondônia,2000,-2164323
13,Nova Brasilândia D'Oeste,Rondônia,2000,-2957794
14,Ouro Preto do Oeste,Rondônia,2000,-8718738
15,Pimenta Bueno,Rondônia,2000,-4146646
16,Porto Velho,Rondônia,2000,13040172
17,Presidente Médici,Rondônia,2000,-3557620
18,Rio Crespo,Rondônia,2000,0
19,Rolim de Moura,Rondônia,2000,-8482935
20,Santa Luzia D'Oeste,Rondônia,2000,-1858716
21,Vilhena,Rondônia,2000,-1009269
22,São Miguel do Guaporé,Rondônia,2000,-2138625
23,Vila nova do mamore,Rondônia,2000,-1108749
24,Alvorada D'Oeste,Rondônia,2000,-2835834
25,Alto Alegre dos Parecis,Rondônia,2000,0
26,Alto Paraíso,Rondônia,2000,-302759
27,Buritis,Rondônia,2000,-460859
28,Novo Horizonte do Oeste,Rondônia,2000,29493
29,Cacaulândia,Rondônia,2000,83484
30,Campo Novo de Rondônia,Rondônia,2000,0
31,Candeias do Jamari,Rondônia,2000,0
32,Castanheiras,Rondônia,2000,0
33,Chupinguaia,Rondônia,2000,0
34,Cujubim,Rondônia,2000,0
35,Governador Jorge Teixeira,Rondônia,2000,0
36,Itapuã do Oeste,Rondônia,2000,0
37,Ministro Andreazza,Rondônia,2000,248704
38,Mirante da Serra,Rondônia,2000,-1636851
39,Monte Negro,Rondônia,2000,-596649
40,Nova União,Rondônia,2000,0
41,Parecis,Rondônia,2000,0
42,Pimenteiras do Oeste,Rondônia,2000,0
43,Primavera de Rondônia,Rondônia,2000,0
44,São Felipe D'Oeste,Rondônia,2000,0
45,São Francisco do Guaporé,Rondônia,2000,0
46,Seringueiras,Rondônia,2000,0
47,Teixeirópolis,Rondônia,2000,0
48,Theobroma,Rondônia,2000,0
49,Urupá,Rondônia,2000,-1600445
50,Vale do Anari,Rondônia,2000,0
51,Vale do Paraíso,Rondônia,2000,0
52,Acrelândia,Acre,2000,0
53,Assis Brasil,Acre,2000,-673094
54,Brasiléia,Acre,2000,-4769394
55,Bujari,Acre,2000,0
56,Capixaba,Acre,2000,0
57,Cruzeiro do Sul,Acre,2000,-18554399
58,Epitaciolândia,Acre,2000,130723
59,Feijó,Acre,2000,-4381596
60,Jordão,Acre,2000,0
61,Mâncio Lima,Acre,2000,-1793636
62,Manoel Urbano,Acre,2000,-705679
63,Marechal Thaumaturgo,Acre,2000,0
64,Plácido de Castro,Acre,2000,-2492016
65,Porto Walter,Acre,2000,0
66,Rio Branco,Acre,2000,-12672005
67,Rodrigues Alves,Acre,2000,0
68,Santa Rosa do Purus,Acre,2000,0
69,Senador Guiomard,Acre,2000,-2502256
70,Sena Madureira,Acre,2000,-4811228
71,Tarauacá,Acre,2000,-4461909
72,Xapuri,Acre,2000,-2995988
73,Porto Acre,Acre,2000,0
74,Alvarães,Amazonas,2000,-631464
75,Amaturá,Amazonas,2000,-685109
76,Anamã,Amazonas,2000,-948812
77,Anori,Amazonas,2000,-2019896
78,Apuí,Amazonas,2000,-862061
79,Atalaia do Norte,Amazonas,2000,-483845
80,Autazes,Amazonas,2000,-3234304
81,Barcelos,Amazonas,2000,-1328722
82,Barreirinha,Amazonas,2000,-2460560
83,Benjamin Constant,Amazonas,2000,-3169702
84,Beruri,Amazonas,2000,-1122032
85,Boa Vista do Ramos,Amazonas,2000,-1607281
86,Boca do Acre,Amazonas,2000,-3644065
87,Borba,Amazonas,2000,-3016739
88,Caapiranga,Amazonas,2000,-714496
89,Canutama,Amazonas,2000,-535829
90,Carauari,Amazonas,2000,-1613771
91,Careiro,Amazonas,2000,-1530606
92,Careiro da Várzea,Amazonas,2000,-2584014
93,Coari,Amazonas,2000,-5665577
94,Codajás,Amazonas,2000,-1964949
95,Eirunepé,Amazonas,2000,-690751
96,Envira,Amazonas,2000,-1152066
97,Fonte Boa,Amazonas,2000,-1823280
98,Guajará,Amazonas,2000,-336987
99,Humaitá,Amazonas,2000,-2948037
100,Ipixuna,Amazonas,2000,-942137
101,Iranduba,Amazonas,2000,-2809126
102,Itacoatiara,Amazonas,2000,-9493715
103,Itamarati,Amazonas,2000,-213602
104,Itapiranga,Amazonas,2000,-984277
105,Japurá,Amazonas,2000,-170684
106,Juruá,Amazonas,2000,-479186
107,Jutaí,Amazonas,2000,-1441916
108,Lábrea,Amazonas,2000,-3613043
109,Manacapuru,Amazonas,2000,-10623468
110,Manaquiri,Amazonas,2000,-1407484
111,Manaus,Amazonas,2000,107497933
112,Manicoré,Amazonas,2000,-3697138
113,Maraã,Amazonas,2000,-524717
114,Maués,Amazonas,2000,-6889467
115,Nhamundá,Amazonas,2000,-2484395
116,Nova Olinda do Norte,Amazonas,2000,-3395677
117,Novo Airão,Amazonas,2000,-1244181
118,Novo Aripuanã,Amazonas,2000,-1772942
119,Parintins,Amazonas,2000,-13783718
120,Pauini,Amazonas,2000,-959000
121,Presidente Figueiredo,Amazonas,2000,-908862
122,Rio Preto da Eva,Amazonas,2000,-637579
123,Santa Isabel do Rio Negro,Amazonas,2000,-998489
124,Santo Antônio do Içá,Amazonas,2000,-1800279
125,São Gabriel da Cachoeira,Amazonas,2000,5050279
126,São Paulo de Olivença,Amazonas,2000,-1745347
127,São Sebastião do Uatumã,Amazonas,2000,-598881
128,Silves,Amazonas,2000,-684267
129,Tabatinga,Amazonas,2000,-2965833
130,Tapauá,Amazonas,2000,-713997
131,Tefé,Amazonas,2000,-6026201
132,Tonantins,Amazonas,2000,-1062801
133,Uarini,Amazonas,2000,-359603
134,Urucará,Amazonas,2000,-1654389
135,Urucurituba,Amazonas,2000,-2221245
136,Amajari,Roraima,2000,0
137,Alto Alegre,Roraima,2000,-814037
138,Boa Vista,Roraima,2000,-2642670
139,Bonfim,Roraima,2000,-219741
140,Cantá,Roraima,2000,0
141,Caracaraí,Roraima,2000,-122399
142,Caroebe,Roraima,2000,0
143,Iracema,Roraima,2000,0
144,Mucajaí,Roraima,2000,-986567
145,Normandia,Roraima,2000,-318094
146,Pacaraima,Roraima,2000,0
147,Rorainópolis,Roraima,2000,-441223
148,São João da Baliza,Roraima,2000,-921087
149,São Luiz,Roraima,2000,-783167
150,Uiramutã,Roraima,2000,0
151,Abaetetuba,Pará,2000,-15760992
152,Abel Figueiredo,Pará,2000,-472252
153,Acará,Pará,2000,-4773698
154,Afuá,Pará,2000,-1891474
155,Água Azul do Norte,Pará,2000,-750552
156,Alenquer,Pará,2000,-10189265
157,Almeirim,Pará,2000,11750277
158,Altamira,Pará,2000,-12170115
159,Anajás,Pará,2000,-920169
160,Ananindeua,Pará,2000,-7603236
161,Anapu,Pará,2000,0
162,Augusto Corrêa,Pará,2000,-6508938
163,Aurora do Pará,Pará,2000,-731127
164,Aveiro,Pará,2000,-1069703
165,Bagre,Pará,2000,-1209465
166,Baião,Pará,2000,-3761553
167,Bannach,Pará,2000,0
168,Barcarena,Pará,2000,2401539
169,Belém,Pará,2000,-135235600
170,Belterra,Pará,2000,-39197
171,Benevides,Pará,2000,-4204646
172,Bom Jesus do Tocantins,Pará,2000,-2366405
173,Bonito,Pará,2000,0
174,Bragança,Pará,2000,-24496854
175,Brasil Novo,Pará,2000,-828774
176,Brejo Grande do Araguaia,Pará,2000,-978846
177,Breu Branco,Pará,2000,-559
178,Breves,Pará,2000,-8385861
