cd_ibge;municipio;estado;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
1100015;Alta Floresta D'Oeste;Rondônia;464.123;524.739;1.613.468;2.119.469;2.316.169;2.571.674;3.394.352;3.881.733;5.045.645;5.697.835;5.919.363;7.627.431;9.014.709;9.182.254;1.985.526;1.101.187;1.100.110
1100023;Ariquemes;Rondônia;7.186.619;8.854.854;10.171.092;12.984.134;14.305.349;17.396.810;19.518.754;26.925.505;33.928.781;36.973.352;45.487.483;51.974.077;57.073.007;59.929.138;59.793.368;59.734.052;60.581.438
1100031;Cabixi;Rondônia;240.933;272.066;403.969;499.211;554.577;638.187;894.803;881.965;1.142.478;1.355.634;1.523.096;1.416.469;2.069.715;2.107.126;0;0;0
1100049;Cacoal;Rondônia;7.991.211;11.421.034;12.441.019;15.024.724;14.535.946;17.258.042;21.590.775;24.158.446;31.802.108;35.781.211;40.930.234;47.250.374;53.579.638;57.807.757;57.047.806;62.840.842;69.150.284
1100056;Cerejeiras;Rondônia;1.414.928;1.954.185;2.703.127;3.345.976;3.811.518;4.279.508;4.927.275;5.923.680;6.967.488;7.066.895;7.491.746;7.689.223;8.576.206;9.993.990;2.789.502;2.950.558;2.572.058
1100064;Colorado do Oeste;Rondônia;921.006;1.385.890;1.613.348;1.736.490;2.185.243;2.630.457;2.985.433;3.319.556;4.361.777;4.304.650;5.039.491;5.417.730;6.343.155;5.726.058;918.904;989.644;1.073.090
1100072;Corumbiara;Rondônia;0;0;0;21.543;23.025;35.054;95.200;51.314;193.678;1.601.943;1.714.589;2.447.644;2.597.720;2.551.891;0;0;0
1100080;Costa Marques;Rondônia;97.616;174.107;591.974;712.992;829.527;814.552;1.058.858;1.424.168;1.742.130;2.184.887;2.542.867;2.066.152;2.460.840;3.008.094;3.032.975;3.710.783;3.784.372
1100098;Espigão D'Oeste;Rondônia;1.279.811;1.165.837;1.425.324;2.045.270;1.804.189;2.107.212;2.703.530;3.386.391;4.048.258;4.415.276;5.173.676;4.375.612;4.942.484;5.823.894;5.244.885;5.228.019;7.036.164
1100106;Guajará-Mirim;Rondônia;1.275.617;1.965.492;2.383.901;3.159.338;2.762.196;3.743.028;4.658.462;5.657.605;7.306.802;7.986.704;10.087.087;13.401.835;10.176.432;8.852.472;9.892.688;8.977.898;7.783.926
1100114;Jaru;Rondônia;5.636.217;7.351.474;10.825.641;10.950.008;14.684.586;18.044.402;21.733.744;26.278.343;31.718.970;32.069.109;33.856.686;36.643.558;45.200.310;48.854.145;56.616.451;60.131.508;64.302.801
1100122;Ji-Paraná;Rondônia;12.726.048;16.629.243;21.952.291;26.984.095;31.026.879;34.530.385;36.715.195;46.243.117;53.474.672;58.434.560;70.031.843;79.085.190;94.036.593;97.498.816;43.674.770;43.303.060;42.375.287
1100130;Machadinho D'Oeste;Rondônia;564.873;1.155.137;1.041.137;829.635;1.019.771;1.288.269;1.377.432;1.421.467;2.624.076;2.258.791;2.495.973;3.123.316;3.110.567;3.439.909;3.701.963;4.029.922;3.953.142
1100148;Nova Brasilândia D'Oeste;Rondônia;289.098;315.867;404.530;591.827;492.430;684.797;804.544;912.090;1.098.979;1.463.966;1.679.252;1.902.406;2.034.692;2.328.858;1.719.399;1.951.318;2.218.832
1100155;Ouro Preto do Oeste;Rondônia;2.336.119;3.017.719;3.909.716;4.696.768;5.271.428;6.426.117;7.123.247;8.251.022;9.911.230;11.451.430;14.997.282;15.824.592;17.444.003;18.023.867;8.081.567;7.975.760;7.507.053
1100189;Pimenta Bueno;Rondônia;2.923.322;3.571.808;5.165.862;5.751.887;6.571.274;8.255.160;11.358.472;13.905.093;74.038.590;20.271.818;23.972.006;29.532.071;38.353.817;46.672.648;27.560.151;29.524.628;33.122.800
1100205;Porto Velho;Rondônia;57.714.896;83.698.118;94.455.202;116.376.104;125.577.901;142.795.158;198.896.306;201.110.824;241.116.027;324.559.634;465.737.113;594.672.738;615.733.080;637.908.282;528.795.497;493.333.121;475.812.120
1100254;Presidente Médici;Rondônia;1.306.414;2.147.832;1.826.559;2.268.757;2.621.377;2.818.081;2.991.370;4.087.162;3.811.930;3.665.373;5.204.940;6.015.526;6.170.546;6.229.458;275.618;211.888;171.043
1100262;Rio Crespo;Rondônia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1100288;Rolim de Moura;Rondônia;3.305.100;4.134.361;4.922.433;5.292.785;5.997.127;6.690.850;8.355.043;9.928.664;13.905.665;16.331.587;19.880.491;21.447.947;23.065.757;20.822.543;23.240.270;22.913.192;23.892.038
1100296;Santa Luzia D'Oeste;Rondônia;101.843;331.498;484.005;881.585;1.162.260;1.155.233;1.304.022;1.656.422;2.080.087;2.148.288;2.109.512;3.364.533;3.272.805;3.118.012;2.199.773;1.863.704;293.745
1100304;Vilhena;Rondônia;6.902.898;9.792.504;11.500.626;15.534.515;16.630.849;19.838.088;24.097.519;28.709.526;33.093.389;37.992.962;42.473.547;50.502.248;54.673.131;65.757.193;49.774.980;43.555.976;41.109.768
1100320;São Miguel do Guaporé;Rondônia;626.219;1.217.406;1.176.798;1.263.761;1.503.999;1.790.138;2.270.747;2.200.217;2.957.422;2.896.911;3.460.222;2.203.030;2.386.827;3.061.170;157.756;123.821;244.376
1100338;Vila nova do mamore;Rondônia;385.151;864.054;933.968;1.111.662;1.489.108;1.623.731;2.015.417;2.593.406;3.241.892;3.410.882;4.277.939;3.440.498;1.926.540;1.745.368;1.908.629;2.041.097;2.053.692
1100346;Alvorada D'Oeste;Rondônia;278.322;264.828;1.033.210;631.326;455.880;571.653;1.166.218;1.107.899;849.014;903.164;641.372;1.009.936;1.197.774;1.102.740;36.616;53.043;60.731
1100379;Alto Alegre dos Parecis;Rondônia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1100403;Alto Paraíso;Rondônia;138.639;530.629;538.573;588.657;757.272;927.189;1.467.582;2.104.570;2.507.852;3.449.382;3.718.694;4.701.064;4.891.772;4.815.713;0;0;0
1100452;Buritis;Rondônia;0;0;0;0;462.149;824.809;1.323.124;1.689.331;1.817.885;2.441.181;2.424.261;3.539.955;5.209.380;6.785.409;3.047.952;2.933.858;2.935.033
1100502;Novo Horizonte do Oeste;Rondônia;29.493;63.244;320.124;644.333;686.214;828.767;1.163.373;778.508;607.917;608.907;632.646;925.272;846.019;1.060.273;904.880;907.173;938.360
1100601;Cacaulândia;Rondônia;205.216;283.116;370.701;450.287;369.918;332.874;610.196;686.005;855.951;752.891;730.173;610.627;789.252;779.335;0;0;0
1100700;Campo Novo de Rondônia;Rondônia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1100809;Candeias do Jamari;Rondônia;0;0;0;0;0;0;0;0;0;0;0;70.704;149.199;385.982;366.090;605.898;317.774
1100908;Castanheiras;Rondônia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1100924;Chupinguaia;Rondônia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1100940;Cujubim;Rondônia;0;0;0;0;0;0;0;0;0;0;0;0;142.615;179.191;0;0;0
1101005;Governador Jorge Teixeira;Rondônia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1101104;Itapuã do Oeste;Rondônia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1101203;Ministro Andreazza;Rondônia;335.704;691.598;815.577;861.978;1.020.048;1.195.536;1.478.255;1.534.479;1.697.927;2.260.602;2.034.198;3.243.601;2.475.876;2.964.021;0;0;0
1101302;Mirante da Serra;Rondônia;400.466;709.244;594.909;1.111.714;773.832;1.858.126;2.117.374;1.849.948;1.484.465;1.568.307;1.680.693;1.644.843;1.498.509;1.260.796;0;0;0
1101401;Monte Negro;Rondônia;122.376;94.568;501.303;636.644;904.636;911.854;1.347.919;1.667.827;1.779.916;1.737.452;2.224.972;1.882.666;1.920.723;2.497.636;0;0;0
1101435;Nova União;Rondônia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1101450;Parecis;Rondônia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
