cd_ibge;estado;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
11; Rondônia;16.126.187;19.608.824;24.175.502;31.268.631;36.853.851;42.835.370;51.881.450;58.935.237;68.120.531;79.514.822;90.894.497;101.254.849;120.148.934;140.339.675;157.175.606;179.452.460;213.114.010
12; Acre;9.267.799;11.234.820;13.134.864;16.481.391;18.939.835;21.135.068;23.805.844;26.544.803;30.483.003;36.063.284;41.788.211;45.946.984;53.980.404;61.460.663;68.201.894;75.826.515;90.380.530
13; Amazonas;34.739.434;41.469.136;48.639.029;61.072.221;69.748.435;76.893.342;87.562.141;95.775.807;108.715.536;124.930.790;144.495.797;159.702.518;187.119.514;215.171.653;238.485.445;268.337.573;312.369.561
14; Roraima;2.472.259;3.055.879;3.679.487;4.784.133;5.904.629;6.945.649;8.694.155;10.429.467;12.159.412;14.296.367;16.277.175;17.906.486;21.105.126;25.032.924;28.512.213;32.388.140;38.041.381
15; Pará;88.128.251;106.202.236;126.253.134;158.367.193;179.616.016;198.434.374;225.398.028;248.327.856;282.521.865;325.317.296;370.414.081;408.649.568;478.442.062;548.684.871;616.820.664;691.355.612;800.341.799
16; Amapá;4.161.745;4.914.048;5.997.334;7.710.425;9.338.419;10.635.269;12.491.193;13.785.171;16.064.723;19.045.690;22.093.027;24.752.986;29.052.146;34.181.280;38.757.961;44.602.120;52.324.181
17; Tocantins;13.836.427;17.117.390;20.543.271;26.522.264;32.181.618;37.757.794;44.090.261;49.295.900;56.356.067;67.568.783;78.649.890;88.110.095;103.845.282;120.074.671;132.998.839;148.333.625;171.404.315
21; Maranhão;88.603.258;110.173.847;130.721.306;164.672.321;189.333.522;215.750.187;249.462.972;276.316.882;319.288.629;373.163.286;428.599.381;468.067.647;551.710.348;631.073.348;710.594.143;791.952.392;914.793.301
22; Piauí;57.463.755;69.783.183;80.769.637;99.349.228;110.829.188;124.861.977;142.471.010;158.489.375;180.473.008;210.481.448;237.342.427;260.853.352;312.034.636;357.493.409;400.292.896;449.933.212;529.261.388
23; Ceará;164.956.966;197.000.516;231.317.964;285.145.951;321.027.923;354.985.924;407.489.625;447.183.427;505.602.318;579.919.501;657.334.484;720.597.638;840.263.697;950.745.483;1.052.691.684;1.161.662.436;1.346.742.426
24; Rio Grande do Norte;68.306.570;80.162.440;93.401.166;115.910.532;131.726.080;146.004.426;167.117.038;179.762.656;199.523.026;226.608.596;255.849.972;279.267.792;322.564.761;362.239.068;401.527.182;444.906.020;518.877.385
25; Paraíba;84.219.643;100.697.412;118.358.536;147.090.823;165.543.650;182.947.763;209.206.050;226.336.713;250.626.626;285.503.436;321.387.244;349.647.524;406.648.973;458.501.716;505.988.960;557.618.597;644.395.504
26; Pernambuco;210.787.546;246.303.180;284.798.554;350.916.087;405.127.060;428.807.815;481.760.433;526.235.212;595.193.379;674.495.652;756.449.347;821.819.567;941.192.109;1.053.861.711;1.155.482.418;1.272.191.664;1.461.069.838
27; Alagoas;54.929.417;64.639.503;73.442.769;90.795.890;102.301.166;114.464.142;133.896.315;151.735.516;175.872.450;204.829.846;236.679.232;260.723.170;303.652.651;341.511.392;375.498.908;416.500.587;481.788.532
28; Sergipe;38.024.729;44.709.721;53.265.007;65.995.144;73.799.095;81.695.178;93.006.520;102.917.684;116.494.192;134.790.700;154.504.167;171.343.444;200.725.779;220.202.783;247.037.965;276.253.392;325.069.357
29; Bahia;301.106.684;353.841.973;417.056.063;519.443.955;594.386.019;656.500.882;740.831.029;803.462.459;904.070.018;1.020.978.803;1.149.627.227;1.256.704.168;1.454.739.504;1.612.139.993;1.785.985.756;1.971.130.398;2.304.833.270
31; Minas Gerais;559.390.288;660.556.946;787.779.618;972.922.618;1.125.475.288;1.221.689.119;1.367.058.686;1.473.462.527;1.637.564.280;1.848.776.345;2.080.157.363;2.283.573.086;2.614.219.262;2.950.612.317;3.246.437.782;3.558.801.804;4.144.538.897
32; Espírito Santo;84.426.561;105.418.478;123.914.675;153.899.860;173.926.960;191.241.971;217.541.064;238.472.764;265.523.418;295.670.582;332.818.777;363.790.710;414.210.627;466.161.277;513.289.582;567.692.843;662.754.092
33; Rio de Janeiro;723.600.226;802.138.951;931.445.059;1.124.121.466;1.280.637.240;1.346.170.930;1.464.026.635;1.550.761.723;1.698.757.155;1.876.548.260;2.082.287.340;2.254.706.960;2.507.384.583;2.865.460.340;3.107.496.286;3.356.938.072;3.829.995.344
35; São Paulo;1.644.347.260;1.862.007.446;2.196.097.573;2.741.537.728;3.147.750.630;3.410.497.235;3.721.638.060;3.940.553.186;4.360.744.122;4.856.123.590;5.468.680.160;5.997.037.783;6.710.420.039;7.470.251.594;8.156.370.680;8.891.978.652;10.270.096.998
41; Paraná;263.974.212;310.318.145;370.498.932;468.433.917;540.524.117;600.342.993;685.667.592;746.801.578;845.360.023;947.746.754;1.075.185.546;1.182.293.545;1.352.931.782;1.522.068.518;1.670.156.060;1.829.097.841;2.122.489.275
42; Santa Catarina;193.616.465;225.479.439;272.890.858;346.223.498;398.267.629;443.057.897;503.217.159;547.591.470;622.581.788;706.765.419;814.173.458;899.563.757;1.026.524.108;1.153.888.142;1.268.495.241;1.399.212.890;1.633.695.435
43; Rio Grande do Sul;450.481.719;516.898.839;604.941.020;756.731.428;854.514.145;929.279.345;1.029.825.866;1.104.729.428;1.243.403.717;1.395.593.212;1.576.845.262;1.731.449.854;1.956.708.030;2.187.296.794;2.398.217.408;2.628.139.998;3.034.922.696
50; Mato Grosso do Sul;37.452.737;44.636.229;54.079.922;67.431.110;80.100.697;90.216.729;103.386.674;113.698.904;130.282.770;151.003.277;173.260.154;192.713.939;225.374.089;258.759.982;288.384.544;320.276.095;374.188.837
51; Mato Grosso;32.027.316;39.405.493;47.659.731;62.008.080;73.879.610;86.967.192;99.507.666;111.273.201;125.418.659;146.528.045;169.841.844;190.192.768;225.834.771;261.306.638;295.118.679;327.668.848;388.963.928
52; Goiás;86.951.717;102.636.273;121.125.267;153.191.366;179.316.576;203.731.857;235.574.251;259.701.702;294.715.671;341.502.118;392.852.328;438.624.776;512.345.317;588.692.648;653.712.109;722.871.757;845.268.494
53; Distrito Federal;51.300.698;58.868.472;72.522.257;91.997.767;106.457.122;117.287.165;128.896.741;138.036.204;159.623.138;180.360.514;207.714.560;230.316.122;263.858.394;283.263.058;315.779.675;345.707.673;403.985.797
